Model,Predictors,PPR,Additive,Linear,Multiple
$y_{1}$,all $\bm{x}$,"($x_{0}, x_{1}, x_{3}$)","($x_{0}, x_{1}, x_{3}$)","($x_{0}, x_{1}, x_{3}$)","($x_{0}, x_{1}, x_{3}$)"
,,($0.009$),($0.009$),($0.009$),($0.009$)
$y_{1}$,all $\bm{x}$ + all $\bm{z}$,"($x_{0}, x_{1}, x_{3}$)","($x_{0}, x_{1}, x_{3}$)","($x_{0}, x_{1}, x_{3}$)","($x_{0}, x_{1}, x_{3}$)"
,,($0.009$),($0.009$),($0.009$),($0.009$)
$y_{1}$,some $\bm{x}$ + all $\bm{z}$,"($x_{0}, x_{1}, z_{2}, z_{4}$)","($x_{0}, x_{1}$) ($z_{4}$) ($z_{1}$)","($x_{0}, x_{1}, z_{2}, z_{4}$)","($x_{0}, x_{1}, z_{2}, z_{4}$)"
,,($0.233$),($0.235$),($0.233$),($0.233$)
$y_{2}$,all $\bm{x}$,"($x_{0}, x_{1}, x_{3}$) ($x_{2}, x_{5}$)","($x_{0}, x_{1}, x_{3}$) ($x_{2}, x_{5}$)","($x_{0}, x_{1}, x_{2}, x_{3}, x_{5}$)","($x_{0}, x_{1}, x_{3}$) ($x_{2}, x_{5}$)"
,,($0.157$),($0.157$),($0.158$),($0.157$)
$y_{2}$,all $\bm{x}$ + all $\bm{z}$,"($x_{0}, x_{1}, x_{3}$) ($x_{2}, x_{5}$)","($x_{0}, x_{1}, x_{3}$) ($x_{2}, x_{5}$)","($x_{0}, x_{1}, x_{2}, x_{3}, x_{5}$)","($x_{0}, x_{1}, x_{3}$) ($x_{2}, x_{5}$)"
,,($0.157$),($0.157$),($0.158$),($0.157$)
$y_{2}$,some $\bm{x}$ + all $\bm{z}$,"($x_{0}, x_{1}$) ($x_{2}$) ($z_{4}$)","($x_{0}, x_{1}, z_{4}$) ($x_{2}$)","($x_{0}, x_{1}, x_{2}, z_{2}$)","($x_{0}, x_{1}$) ($x_{2}, z_{2}, z_{3}$)"
,,($0.340$),($0.340$),($0.336$),($0.345$)
$y_{1}$,all $\bm{x}$,"($x_{0}, x_{1}, x_{3}$) ($x_{2}, x_{4}, x_{5}$)","($x_{0}, x_{1}$) ($x_{3}$)","($x_{0}, x_{1}, x_{3}$)","($x_{0}, x_{1}, x_{3}$)"
,,($0.235$),($0.274$),($0.233$),($0.233$)
$y_{1}$,all $\bm{x}$ + all $\bm{z}$,"($x_{0}, x_{1}, x_{3}$)","($x_{0}, x_{1}, x_{3}$) ($z_{0}$)","($x_{0}, x_{1}, x_{3}$)","($x_{0}, x_{1}, x_{3}$) ($z_{0}$)"
,,($0.233$),($0.232$),($0.233$),($0.232$)
$y_{1}$,some $\bm{x}$ + all $\bm{z}$,"($x_{0}, x_{1}$) ($z_{1}$) ($z_{4}$)","($x_{0}, x_{1}$) ($z_{1}$) ($z_{4}$)","($x_{0}, x_{1}, z_{2}, z_{4}$)","($x_{0}, x_{1}$) ($z_{0}, z_{4}$) ($z_{1}$)"
,,($0.476$),($0.476$),($0.474$),($0.475$)
$y_{2}$,all $\bm{x}$,"($x_{0}, x_{1}, x_{3}$) ($x_{2}, x_{5}$) ($x_{4}$)","($x_{0}, x_{1}, x_{3}$) ($x_{2}, x_{5}$) ($x_{4}$)","($x_{0}, x_{1}, x_{2}, x_{3}, x_{5}$) ($x_{4}$)","($x_{0}, x_{1}, x_{3}$) ($x_{2}, x_{5}$) ($x_{4}$)"
,,($0.359$),($0.359$),($0.379$),($0.359$)
$y_{2}$,all $\bm{x}$ + all $\bm{z}$,"($x_{0}, x_{1}, x_{3}$) ($x_{5}, z_{1}$) ($x_{2}, z_{0}$)","($x_{0}, x_{1}, x_{3}$) ($x_{2}, x_{5}, z_{1}$)","($x_{0}, x_{1}, x_{2}, x_{3}, x_{5}, z_{0}$)","($x_{0}, x_{1}, x_{3}$) ($x_{2}, x_{5}$)"
,,($0.354$),($0.358$),($0.380$),($0.361$)
$y_{2}$,some $\bm{x}$ + all $\bm{z}$,"($x_{0}, x_{1}, z_{0}, z_{3}, z_{4}$) ($x_{2}$)","($x_{0}, x_{1}, z_{0}, z_{1}, z_{3}, z_{4}$) ($x_{2}$)","($x_{0}, x_{1}, x_{2}, z_{0}, z_{3}, z_{4}$)","($x_{0}, x_{1}, z_{0}, z_{1}, z_{3}, z_{4}$) ($x_{2}$)"
,,($0.582$),($0.576$),($0.575$),($0.575$)